year,week,status,file_name,url
2023,49th,success,week_49.pdf,https://drive.google.com/uc?export=download&id=1lABEzjOsFk3hNk-BBFyc7vVRO773XpHN
2023,50th,success,week_50.pdf,https://drive.google.com/uc?export=download&id=1EOIJyqtZLVjDIz1q7-sjZBn6hMFM1bZ9
2023,51st,success,week_51.pdf,https://drive.google.com/uc?export=download&id=1N1nx9L9PvucIeHPh0s_Y93brf_LFM322
2023,52nd,success,week_52.pdf,https://drive.google.com/uc?export=download&id=1ruCBZP_Cgn85cFd7KPeihNaLg8264gNz
2024,1st,success,week_01.pdf,https://drive.google.com/uc?export=download&id=1SsmjJf-wrTtau9DM5YK3qthByCrmK7JE
2024,2nd,success,week_02.pdf,https://drive.google.com/uc?export=download&id=1LJdSIdb0D3WTdVSw_HkwVKJKaFU1gIA-
2024,3rd,success,week_03.pdf,https://drive.google.com/uc?export=download&id=1BUQRAAr6jqLY1U6po6FwpfCEAErCCoEu
2024,4th,success,week_04.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/81470887121748948191.pdf
2024,5th,success,week_05.pdf,https://drive.google.com/uc?export=download&id=1ugVynaeUhTSP9wSPJEpnyFvm-yDwJYWD
2024,6th,success,week_06.pdf,https://drive.google.com/uc?export=download&id=171CIVyUf_g8WWV5iy-BBsxOJ-w3TjxeK
2024,7th,success,week_07.pdf,https://drive.google.com/uc?export=download&id=1p084F_Nkx3PvKFTnIUxUwfeT62epyzkX
2024,8th,success,week_08.pdf,https://drive.google.com/uc?export=download&id=1RPKEGDrNDELaz3LKfCCY9NC8kC8PufB4
2024,9th,success,week_09.pdf,https://drive.google.com/uc?export=download&id=1oOCt8avv_yfOlsQ047XjCwtEOM5dq5CC
2024,10th,success,week_10.pdf,https://drive.google.com/uc?export=download&id=1lumtRYDosARGeEKcHfggt5epdtyitS1A
2024,11th,success,week_11.pdf,https://drive.google.com/uc?export=download&id=1qYHV0dODb1_v3VgI49O-x5MAjMYYThBs
2024,12th,success,week_12.pdf,https://drive.google.com/uc?export=download&id=1gYke6h08qbm30tgTqi88YvneBSmh3cZW
2024,13th,success,week_13.pdf,https://drive.google.com/uc?export=download&id=1FdbshEogmU7Ut4wY8iNKEVDE6J-4gGm_
2024,14th,success,week_14.pdf,https://drive.google.com/uc?export=download&id=1VYR3JHc7T7bMnk8r7j83OfQHeJ4p_qJt
2024,15th,success,week_15.pdf,https://drive.google.com/uc?export=download&id=1p93pnw30hl6Dsg1Tz3UooGaX9ifs7bPS
2024,16th,success,week_16.pdf,https://drive.google.com/uc?export=download&id=1Z4wqatbeSAiQogSZpSyfh0TPhtsIGbpO
2024,17th,failed,week_17.pdf,https://drive.google.com/uc?export=download&id=181r-U1xoqvGFyer9pcRBisV_n23W5G90
2024,18th,success,week_18.pdf,https://drive.google.com/uc?export=download&id=1bnbn-nVYBADrMvxH67GkNaPq87YwzTYB
2024,19th,success,week_19.pdf,https://drive.google.com/uc?export=download&id=1X0AHVK_AExD2cRKNk-7K5umZB_YdDMSR
2024,20th,success,week_20.pdf,https://drive.google.com/uc?export=download&id=1BFi8uM9DDwb0Q-X-1vJ4pCiUJqMWryAe
2024,21st,success,week_21.pdf,https://drive.google.com/uc?export=download&id=1JtZCMGp5-wNBbBYv02xdCujs8r-ba6uh
2024,22nd,success,week_22.pdf,https://drive.google.com/uc?export=download&id=1J3BzC_ocEoWG2nbQiuRSvfbD7h1Vw0Bw
2024,23rd,success,week_23.pdf,https://drive.google.com/uc?export=download&id=1oW5w73kaCCnaeJmQU6lJOwy-afvX_5O3
2024,24th,success,week_24.pdf,https://drive.google.com/uc?export=download&id=1JquWgitb12IqEsQh34sX1IQ5g9L2IiW6
2024,25th,success,week_25.pdf,https://drive.google.com/uc?export=download&id=1zNmXoGphKZJBRg5fv2ak9rOFS7isXJqv
2024,26th,success,week_26.pdf,https://drive.google.com/uc?export=download&id=1nqmrT1K0yMGVLubn_1c3OR5Tjh7OmIW1
2024,27th,success,week_27.pdf,https://drive.google.com/uc?export=download&id=1RuBZeJLDaedV8Vj7Y4RPdvv05rGbqiPD
2024,28th,success,week_28.pdf,https://drive.google.com/uc?export=download&id=1n4uySrCezHyJbLipKwwh1KfEewON_gDh
2024,29th,success,week_29.pdf,https://drive.google.com/uc?export=download&id=1PtXxrZ4jXTUqN93sMi1mds74n-oxCrOm
2024,30th,success,week_30.pdf,https://drive.google.com/uc?export=download&id=1iJ0y1mspBD68tD58TOCT75c-7YBzlo5L
2024,31st,success,week_31.pdf,https://drive.google.com/uc?export=download&id=1lKaVabDcJwf64Cj3C_v-IbLkA878JHxI
2024,32nd,success,week_32.pdf,https://drive.google.com/uc?export=download&id=1R48Z4mop81jCe8hRRq-yONUDo0y3ZRtt
2024,33rd,success,week_33.pdf,https://drive.google.com/uc?export=download&id=1gZ3m-gJslKuzmCdhnit_Ha1au9-P8DTt
2024,34th,success,week_34.pdf,https://drive.google.com/uc?export=download&id=1sc7KamA4UXuB9YImoHPyO9yVAzEnChZ9
2024,35th,success,week_35.pdf,https://drive.google.com/uc?export=download&id=1H1pLNH7m8t-Fi_bqPC1O7rjYY1BPgPSz
2024,36th,success,week_36.pdf,https://drive.google.com/uc?export=download&id=18fDoWSo9C7hGzSpYWdxI65CfNejBXhfH
2024,37th,success,week_37.pdf,https://drive.google.com/uc?export=download&id=1gZY4wd-G9b8Xk_3L18ZO1H17FsDGnTR7
2024,38th,success,week_38.pdf,https://drive.google.com/uc?export=download&id=1E8QA8_G2Z6GnlDWwvE2VCa9JAf2kykDK
2024,39th,success,week_39.pdf,https://drive.google.com/uc?export=download&id=1U9yLalb31zQCj8Sx6XVNqvSSl-j4rm_J
2024,40th,success,week_40.pdf,https://drive.google.com/uc?export=download&id=1i-fun3UzME2SCF9TbM6EKJ3A12EBW0_L
2024,41st,success,week_41.pdf,https://drive.google.com/uc?export=download&id=1Cpr_45rvsaUqWiA3pmumANhkOcHo5o1i
2024,42nd,success,week_42.pdf,https://drive.google.com/uc?export=download&id=1fdXlPXw4utZVWk5bevJ3B0lFKH7dmKNr
2024,43rd,success,week_43.pdf,https://drive.google.com/uc?export=download&id=1ckrHLT9YO4ioQ7B0PQX1jlsSGkm_AsQT
