billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,JAMMU,114660.7854,1924.9937,0.0,114616.1454,1923.9937,0.0,99.96,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,JAMMU,56846.3263,954.5798,0.0,51822.9463,842.5798,0.0,91.16,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,JAMMU,48324.7845,723.9819,0.0,47427.2045,703.9819,0.0,98.14,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,JAMMU,58550.858,879.6549,0.0,56441.788,831.6549,0.0,96.4,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,JAMMU,74843.4175,1120.2913,0.0,73542.1875,1091.2913,0.0,98.26,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,JAMMU,54116.1,810.0,0.0,54116.1,810.0,0.0,100.0,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,JAMMU,64978.6178,979.1023,0.0,64888.8578,977.1023,0.0,99.86,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,JAMMU,60817.7419,912.3697,0.0,60503.6119,905.3697,0.0,99.48,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,JAMMU,70162.5324,1050.2161,0.0,69399.6024,1033.2161,0.0,98.91,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,JAMMU,52141.4253,782.5311,0.0,51154.0653,756.5311,0.0,98.11,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,JAMMU,47556.4319,712.179,0.0,45784.5119,654.179,0.0,96.27,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,JAMMU,47438.7516,710.0656,0.0,45561.5816,671.0656,0.0,96.04,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,JAMMU,81513.7531,1226.0965,0.0,81327.1726,1221.9385,0.0,99.77,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,JAMMU,46104.3792,690.0984,0.0,46003.5194,681.8524,0.0,99.78,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,JAMMU,32739.8315,490.0526,0.0,32548.2759,485.8903,0.0,99.41,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,JAMMU,32068.8,480.0,0.0,31501.62,468.0,0.0,98.23,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,JAMMU,47101.05,705.0,0.0,46554.79,694.0,0.0,98.84,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,JAMMU,46098.9,690.0,0.0,46098.9,690.0,0.0,100.0,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,JAMMU,49439.4,740.0,0.0,49439.4,740.0,0.0,100.0,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,JAMMU,42780.672,640.4,0.0,42284.072,630.4,0.0,98.84,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,JAMMU,54784.2,820.0,0.0,54450.12,814.0,0.0,99.39,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,JAMMU,26731.74,402.1379,0.0,26483.44,397.1379,0.0,99.07,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,JAMMU,44762.7,670.0,0.0,44762.7,670.0,0.0,100.0,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,JAMMU,51777.84,778.0,0.0,51430.22,771.0,0.0,99.33,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,JAMMU,31734.78,476.0,0.0,31734.78,476.0,0.0,100.0,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,JAMMU,46098.9,690.0,0.0,45876.18,686.0,0.0,99.52,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,JAMMU,23383.5,350.0,0.0,23383.5,350.0,0.0,100.0,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,JAMMU,61149.78,902.0,0.0,56291.25,813.0,0.0,92.05,85.68,29.82,80.8,11.11,False,observed,31.0
202508,Aug-2025,JAMMU,64571.5,950.0,0.0,64241.76,944.0,0.0,99.49,84.63,29.24,82.14,14.45,False,observed,31.0
202509,Sep-2025,JAMMU,17332.3,260.0,0.0,16664.2,248.0,0.0,96.15,85.43,29.68,73.35,6.53,False,observed,30.0
202510,Oct-2025,JAMMU,36199.4346,535.096,0.0,35754.0146,527.096,0.0,98.77,77.27,25.15,72.72,2.46,False,observed,31.0
202511,Nov-2025,JAMMU,524.8837,9.2671,0.0,-477.1763,-8.7329,0.0,-90.91,65.84,18.8,64.74,0.0,False,observed,30.0
202512,Dec-2025,JAMMU,30731.6995,454.564,0.0,30397.6195,448.564,0.0,98.91,58.31,14.62,75.33,0.0,False,observed,31.0
202601,Jan-2026,JAMMU,16312.8,240.0,0.0,15362.04,222.0,0.0,94.17,54.63,12.57,78.79,2.53,False,observed,31.0
202602,Feb-2026,JAMMU,8156.4,120.0,0.0,7209.95,103.0,0.0,88.4,65.45,18.58,66.88,0.68,False,observed,28.0
202603,Mar-2026,JAMMU,11554.9,170.0,0.0,11387.89,166.0,0.0,98.55,76.3,24.61,58.33,1.12,False,observed,31.0
